keys,zh_TW,en
item.tactical_glasses.desc,可裝備在眼鏡欄位的輕量視覺裝備。,Light visual gear that fits the glasses slot
item.defense_totem.name,圖騰：防禦,Totem: Defense
item.defense_totem.desc,裝備後提高防禦力。,Increases defense while equipped.
item.cash.name,現金,Cash
item.cash.desc,基礎交易貨幣。商店系統接上前先保留為貨幣物品。,Basic trade currency
item.junk.name,垃圾,Junk
item.junk.desc,低價值雜物。可用於出售或拆解系統。,Low value loot for selling or dismantling
item_type.consumable,消耗品,Consumable
item_type.crafting,製作材料,Crafting Material
item_type.loot,戰利品,Loot
item_type.weapon,武器,Weapon
item_type.armor,護甲,Armor
item_type.quest,任務物品,Quest Item
item_type.currency,貨幣,Currency
item_type.ammo,彈藥,Ammo
item_type.backpack,背包與容器,Backpack and Container
item_type.attachment,配件,Attachment
item_type.medical,醫療用品,Medical
item_type.food,食物飲水,Food and Drink
item_type.key,鑰匙,Key
item_type.electronics,電子零件,Electronics
item_type.explosive,爆裂物,Explosive
item_type.valuable,貴重品,Valuable
item_type.intel,情報文件,Intel
item_type.totem,圖騰特殊物,Totem and Special
item_type.recipe,配方藍圖,Recipe and Blueprint
codex_category.weapon,武器,Weapon
codex_category.ammo,彈藥,Ammo
codex_category.equipment,裝備,Equipment
codex_category.attachment,配件,Attachment
codex_category.totem,圖騰,Totem
codex_category.medical,醫療,Medical
codex_category.food,食物飲水,Food and Drink
codex_category.crafting,製作材料,Crafting Material
codex_category.electronics,電子零件,Electronics
codex_category.key,鑰匙,Key
codex_category.loot,戰利品,Loot
codex_category.currency,貨幣,Currency
codex_category.valuable,貴重品,Valuable
codex_category.intel,情報,Intel
codex_category.quest,任務物品,Quest Item
codex_category.recipe,配方藍圖,Recipe and Blueprint
codex_category.explosive,爆裂物,Explosive
codex_category.other,其他,Other
ui.item.type_format,類型：%s,Type: %s
ui.item.damage_format,傷害 %d,Damage %d
ui.item.defense_format,防禦 %.0f,Defense %.0f
ui.item.magazine_format,彈匣 %d,Magazine %d
ui.item.attachment_magazine_bonus_format,彈匣 +%d,Magazine +%d
ui.item.attachment_recoil_multiplier_format,後座 V%.2fx / H%.2fx,Recoil V%.2fx / H%.2fx
ui.item.stack_weight_format,總重量 %.2f kg,Total weight %.2f kg
ui.item.needed_format,需求來源：%s,Needed: %s
ui.weapon_mod.details_title,武器數值,Weapon Stats
ui.weapon_stat.damage,傷害,Damage
ui.weapon_stat.fire_rate,射速,Fire Rate
ui.weapon_stat.projectiles_per_shot,每次射擊彈丸數,Projectiles per Shot
ui.weapon_stat.projectile_spread,彈丸散布角度,Projectile Spread
ui.weapon_stat.attack_rate,攻擊速度,Attack Speed
ui.weapon_stat.armor_penetration,穿甲,Armor Penetration
ui.weapon_stat.critical_chance,暴擊率,Critical Chance
ui.weapon_stat.projectile_pierce_chance,穿透率,Pierce Chance
ui.weapon_stat.magazine_capacity,彈匣容量,Magazine Capacity
ui.weapon_stat.reload_duration,裝填時間,Reload Time
ui.weapon_stat.recoil_angle,後座角度,Recoil Angle
ui.weapon_stat.vertical_recoil,垂直後座,Vertical Recoil
ui.weapon_stat.horizontal_recoil,水平後座,Horizontal Recoil
ui.weapon_stat.projectile_range,射程,Range
ui.weapon_stat.attack_range,攻擊距離,Attack Range
ui.weapon_stat.durability_wear,耐久消耗,Durability Wear
ui.weapon_stat.durability,耐久,Durability
ui.item_stat.durability_penalty_threshold,低耐久門檻,Low Durability Threshold
ui.weapon_stat.recoil_recovery,後座恢復,Recoil Recovery
ui.weapon_stat.spread,散布,Spread
ui.codex.title,物品圖鑑,Item Codex
ui.codex.empty_slot,尚未登錄物品,No item cataloged
ui.codex.weight,重量,Weight
ui.codex.value,價值,Value
ui.codex.defense,防禦,Defense
ui.codex.max_stack,最大堆疊,Max Stack
ui.codex.damage,傷害,Damage
ui.codex.durability,耐久,Durability
ui.main.title,逃離鴨科夫,Escape From Duckov
ui.main.subtitle,物資、撤離、活下去。,Loot extract survive
ui.main.start,開始遊戲,Start Game
ui.main.load,讀取存檔,Load Save
ui.main.settings,設定,Settings
ui.main.quit,退出遊戲,Quit Game
ui.main.back,返回,Back
ui.common.close,關閉,Close
ui.common.execute,執行,Execute
ui.main.load_empty,尚未完成讀取存檔流程。,Save loading is not implemented yet
ui.settings.fullscreen,全螢幕,Fullscreen
ui.settings.language,語言,Language
ui.settings.resolution,解析度,Resolution
ui.settings.display_mode,畫面模式,Screen Mode
ui.settings.display.fullscreen,全螢幕,Fullscreen
ui.settings.display.windowed,視窗模式,Windowed
ui.settings.master_volume,主音量,Master Volume
ui.settings.bgm_volume,背景音樂,Background Music
ui.settings.sfx_volume,音效,Sound Effects
ui.language.zh_tw,繁體中文,Traditional Chinese
ui.language.en,英文,English
ui.difficulty.title,選擇難度,Choose Difficulty
ui.difficulty.prompt,難度目前只影響玩家最大生命值。,Difficulty currently only changes player max health
ui.difficulty.easy,簡單,Easy
ui.difficulty.easy_desc,玩家生命值提高。,Player health is increased
ui.difficulty.normal,普通,Normal
ui.difficulty.normal_desc,標準生命值。,Standard health value
ui.difficulty.hard,困難,Hard
ui.difficulty.hard_desc,玩家生命值降低。,Player health is reduced
ui.save_slots.prompt,選擇要讀取的存檔。,Choose a save slot to load
ui.save_slots.slot_format,存檔 %d,Slot %d
ui.save_slots.empty,空存檔,Empty
ui.save_slots.filled_format,%s / %s,%s / %s
ui.save_slots.status_default,選擇一個存檔。,Choose a save slot
ui.save_slots.status_empty,這個存檔是空的。,This save slot is empty
ui.save_slots.status_loading,正在讀取存檔 %d,Loading slot %d
ui.save_slots.status_load_failed,讀取存檔 %d 失敗,Could not load slot %d
ui.save_slots.status_missing_manager,找不到存檔管理器。,Save manager is missing
ui.save_slots.time_unknown,未知時間,Unknown time
ui.save_slots.difficulty_unknown,未知難度,Unknown difficulty
ui.pause.title,暫停,Paused
ui.pause.resume,回到遊戲,Resume
ui.pause.settings,設定,Settings
ui.pause.main_menu,回到主選單,Main Menu
ui.pause.quit,退出遊戲,Quit Game
ui.base.title,基地,Base
ui.base.subtitle,整理倉庫、準備裝備，開始下一場行動。,Stash prepare and start the next raid
ui.base.phase,安全區 / 基地階段,Safe zone / Base phase
ui.base.phase_hint,這裡不會戰鬥。確認倉庫、任務與工作台後再開始出擊。,No combat here. Check stash quests and workbench before raiding
ui.base.slot_format,存檔 %d,Slot %d
ui.base.difficulty,難度,Difficulty
ui.base.money,金錢,Money
ui.base.stash,倉庫,Stash
ui.base.stash_empty,倉庫是空的。,Stash is empty
ui.base.workbench,工作台,Workbench
ui.base.upgrade_cost,需求,Cost
ui.base.quest,任務,Quest
ui.base.sell_all_junk,出售雜物,Sell All Junk
ui.base.upgrade,升級,Upgrade
ui.base.upgraded,已升級,Upgraded
ui.base.start_raid,開始出擊,Start Raid
ui.base.ready,基地待命：整理物資後按「開始出擊」。,Base ready. Prepare supplies then start the raid
ui.base.no_save,尚無存檔資料。先開始一場行動來建立進度。,No save data yet. Start a raid to create progress
ui.base.sell_none,沒有可出售的雜物。,No junk to sell
ui.base.sell_failed,無法保存出售結果。,Could not save sale result
ui.base.sell_success,已出售雜物,Sold junk
ui.base.upgrade_save_failed,無法保存升級結果。,Could not save upgrade result
ui.base.upgrade_success,工作台已升級。下一場行動備用彈藥 +1。,Workbench upgraded. Next raid starts with +1 reserve ammo
ui.base.quest_not_ready,任務尚未達成，無法回報。,Quest is not ready to submit
ui.base.quest_save_failed,無法保存任務獎勵。,Could not save quest reward
ui.base.quest_claimed,任務完成,Quest completed
ui.base.workbench_upgraded,已升級：初始備用彈藥 +1,Upgraded: starter ammo +1
ui.base.workbench_no_save,先建立存檔才能升級。,Create a save to upgrade
ui.base.workbench_ready,可升級,Ready to upgrade
ui.base.workbench_need_money,金錢不足,Need more money
ui.base.workbench_need_items,材料不足,Need more materials
ui.base.workbench_unavailable,無法升級,Upgrade unavailable
ui.base.station.default,基地設施,Base station
ui.base.station.stash,倉庫,Stash
ui.base.station.stash_hint,整理戰利品,Manage loot
ui.base.station.quests,任務板,Quest Board
ui.base.station.quests_hint,查看回報,Review and turn in
ui.base.station.workbench,工作台,Workbench
ui.base.station.workbench_hint,升級基地,Upgrade base
ui.base.station.raid_gate,出擊門,Raid Gate
ui.base.station.raid_gate_hint,開始行動,Start raid
ui.base.station.medical,醫療站,Medical Station
ui.base.station.medical_hint,回復生命,Restore health
ui.base.interaction.stash_body,整理帶回的戰利品、裝備與倉庫空間。,Manage extracted loot
ui.base.interaction.quests_body,查看任務進度並回報可完成目標。,Review quest progress and turn in completed objectives
ui.base.interaction.workbench_body,升級基地功能；已解鎖的工作台模式會在此顯示。,Upgrade base functions. Unlocked workbench modes appear here
ui.base.interaction.medical_body,支付少量金錢回復生命。,Pay a small fee to restore health
ui.base.interaction.default_body,選擇基地設施查看可用操作。,Choose a base station to view available actions
ui.base.medical.full_health,生命已滿，不需要治療。,Health is full. No treatment needed
ui.base.medical.no_save,找不到目前存檔，無法扣款治療。,No active save found. Treatment cannot be charged
ui.base.medical.need_money,金錢不足，治療需要 $%d。,Not enough money. Treatment costs $%d
ui.base.medical.can_heal,可支付 $%d 將生命回復至滿。,Pay $%d to restore health
ui.base.medical.action,治療 $%d,Treat $%d
ui.base.medical.body_format,生命 %d / %d，金錢 $%d。%s,Health %d / %d money $%d. %s
ui.base.medical.cannot_heal,無法治療。,Cannot treat
ui.base.medical.save_failed,治療完成，但存檔扣款失敗。,Treatment completed but save payment failed
ui.base.medical.healed,治療完成，生命已回滿。,Treatment complete. Health restored
ui.base.workbench.action,升級工作台,Upgrade Workbench
ui.base.workbench.upgraded,已升級,Upgraded
ui.base.workbench.effect_format,效果：下一場行動備用彈藥 +%d。,Effect: next raid starts with +%d reserve ammo
ui.base.workbench.cost_format,需求：%s。,Cost: %s
ui.base.workbench.status_upgraded,狀態：已升級。進入下一場 Raid 時會直接套用。,Status: upgraded. It applies on the next raid
ui.base.workbench.status_no_save,狀態：先建立存檔才能升級。,Status: create a save before upgrading
ui.base.workbench.status_ready,狀態：材料足夠，可以升級。,Status: materials ready. Upgrade available
ui.base.workbench.status_format,狀態：%s,Status: %s
ui.base.workbench.blocked_money,金錢不足。,Need more money
ui.base.workbench.blocked_items,材料不足。,Need more materials
ui.base.workbench.blocked_owned,已升級。,Already upgraded
ui.base.workbench.blocked_invalid,升級資料異常。,Upgrade data is invalid
ui.base.workbench.blocked_unknown,暫時無法升級。,Upgrade unavailable
ui.base.workbench_upgrade_done,升級完成。,Upgrade complete
ui.base.workbench_upgrade_failed_short,升級失敗。,Upgrade failed
base_upgrade.workbench_level_1.name,工作台 Lv.1,Workbench Lv.1
ui.base.upgrade_missing_money,升級所需金錢不足。,Not enough money for upgrade
ui.base.upgrade_missing_items,升級所需材料不足。,Not enough materials for upgrade
ui.base.upgrade_already_owned,工作台已經升級。,Workbench is already upgraded
ui.base.upgrade_failed,無法升級工作台。,Cannot upgrade workbench
ui.base.quest_no_save,請先建立存檔,Create a save first
ui.base.quest_completed,已完成,Completed
ui.base.completed,已完成,Completed
ui.base.quest_ready,可回報,Ready
ui.base.quest_active,進行中,Active
ui.base.submit_quest,回報任務,Submit
ui.base.quest_objective,帶回,Extract
ui.base.quest_kill_objective,擊倒,Eliminate
ui.base.quest_location_objective,前往,Reach
ui.base.quest_progress,進度,Progress
ui.raid_hud.goal_title,目前目標,Current objective
ui.raid_hud.objective,搜索物資 / 小心敵人 / 前往撤離點,Search supplies / Watch enemies / Reach extraction
ui.raid_hud.route_hint,搜完箱子後，確認血量與彈藥，再站進撤離區倒數。,Search containers then check health and ammo before extraction
ui.raid_hud.status_dead,行動失敗,Raid failed
ui.raid_hud.status_extracted,已撤離,Extracted
ui.raid_hud.status_active,行動中,Raid active
ui.raid_hud.status_ready,準備中,Ready
ui.raid_hud.extraction_hint,前往撤離區即可離開,Reach extraction zone to leave
ui.raid_hud.health,生命,Health
ui.raid_hud.stamina,體力,Stamina
ui.raid_hud.vitals_missing,生命：-- / --　體力：-- / --,Health: -- / --  Stamina: -- / --
ui.raid_hud.weapon,武器,Weapon
ui.raid_hud.weapon_missing,未裝備,No weapon
ui.raid_hud.ammo_missing,彈藥：-- / --,Ammo: -- / --
ui.raid_hud.ammo,彈藥,Ammo
ui.raid_hud.weapon_status,戰鬥狀態,Combat status
ui.raid_hud.weapon_status_unarmed,未裝備,No weapon
ui.raid_hud.weapon_status_empty,空彈,Empty
ui.raid_hud.weapon_status_reloading,裝填中,Reloading
ui.raid_hud.weapon_status_ready,可射擊,Ready to fire
ui.raid_hud.weapon_status_cooldown,射擊間隔,Cooldown
ui.raid_hud.weapon_status_using_item,使用物品中,Using item
ui.raid_hud.reload_ready,裝填待命,Reload ready
ui.raid_hud.reloading,裝填中,Reloading
ui.raid_hud.reload_complete,裝填完成,Reload complete
ui.raid_hud.reload_cancelled,裝填取消,Reload cancelled
ui.player_hud.loaded_bullets,發子彈,rounds
ui.item_use.using_format,使用 %s,Using %s
ui.item_use.complete,使用完成,Use complete
ui.item_use.cancelled,使用取消,Use cancelled
ui.raid_hud.extracting,撤離中...,Extracting...
ui.raid_hud.extraction_remaining,撤離,Extraction
ui.raid_hud.extracted,已撤離,Extracted
ui.raid_result.title,行動結算,Raid Result
ui.raid_result.subtitle,查看本次結果，確認哪些物資會回到基地。,Review result and confirm what returns to base
ui.raid_result.outcome,結果,Outcome
ui.raid_result.duration,時間,Duration
ui.raid_result.money_delta,金錢,Money
ui.raid_result.continue_to_base,回到基地,Continue to Base
ui.raid_result.status,帶回物資已轉入基地倉庫；回基地後可直接整理下一場行動。,Extracted supplies have moved to the base stash. Return to base to prepare the next raid
ui.raid_result.status_dead,遺失物品不會進入基地倉庫；安全口袋物品會送回基地。,Lost items do not enter base stash. Safe pocket items return to base
ui.raid_result.transfer_title,物資轉移,Transfer Summary
ui.raid_result.transfer_extracted,帶回成功：%d 種物資已轉入基地倉庫。按「回到基地」整理下一場行動。,Extracted %d item groups to the base stash. Return to base to prepare the next raid
